IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;CV_PRICE_1;CV_CURRENCY_1
403;IPC Portotecnica PW-C23P I1610AO мойка высокого давления с барабаном;;0;39860.00;RUB
404;IPC Portotecnica PW-C21 I 1508 P мойка высокого давления;;0;34270.00;RUB
407;Мойка высокого давления IPC Portotecnica PW-C25  1813P ;;0;50150.00;RUB
409;Мойка высокого давления IPC Portotecnica PW-C40 1310P;;0;53370.00;RUB
410;Мойка высокого давления IPC Portotecnica PW-C40 1310P M;;0;55930.00;RUB
411;Мойка высокого давления IPC Portotecnica PW-C40 1813P T +RU Assesori;;0;55930.00;RUB
412;Мойка высокого давления IPC Portotecnica PW-C40 1813P T ;;0;59590.00;RUB
413;Мойка высокого давления IPC Portotecnica  PW-C50 D2117P T +RU Assesori;;0;88360.00;RUB
415;Мойка высокого давления IPC Portotecnica  BENZ-C H1811Pi P IPC;;0;74660.00;RUB
416;Мойка высокого давления IPC Portotecnica BENZ-C H2013Pi P IPC;;0;104630.00;RUB
417;Мойка высокого давления IPC Portotecnica H.P.CLEANER PW-H50 D1813P4 T;;0;162460.00;RUB
418;Мойка высокого давления IPC Portotecnica PW-H50/4 D1813P4T;;0;141530.00;RUB
419;Мойка высокого давления IPC Portotecnica PW-H50/4 D2017P4T;;0;166760.00;RUB
420;Мойка высокого давления IPC Portotecnica PW-H100/4 D2515PT;;0;211910.00;RUB
421;Холодный воск Fast Wax (1 л );;0;650.00;RUB
422;Холодный воск Fast Wax (5 л);;0;1250.00;RUB
423;"Очиститель двигателя ""Motor Cleaner"" (5,8 кг)";;0;750.00;RUB
424;Очиститель салона Universal cleaner (1 кг);;0;230.00;RUB
425;Очиститель салона Universal cleaner (0,5 кг);;0;130.00;RUB
426;"Универсальный пенный очиститель ""Multipurpose Foam Cleane"" (750 мл)";;0;350.00;RUB
427;"Очиститель двигателя ""Motor Cleaner"" (1 кг)";;0;280.00;RUB
428;"Полироль-очиститель пластика ""Dashboard Cleaner"" лимон (750 мл) ";;0;350.00;RUB
429;"Полироль пластика ""Polyrol Matte"" (1 кг)";;0;300.00;RUB
430;"Полироль пластика ""Polyrol Matte GRASS"" Изумруд (0,5 кг)";;0;150.00;RUB
431;"Полироль для шин ""Black rubber"" (1 кг)";;0;370.00;RUB
432;"Полироль для шин ""Black rubber"" (0,5 кг)";;0;150.00;RUB
433;"Полироль для шин ""Black BRILLIANS Silicone"" (0,5 кг)";;0;250.00;RUB
434;"Очиститель салона ""Universal cleaner"" (5,4 кг)";;0;800.00;RUB
435;"Чернитель резины ""Black rubber"" (5,7 кг)";;0;1520.00;RUB
436;"Горячий воск ""Hot Wax"" (5 кг) ";;0;1400.00;RUB
437;"Средство для очистки стекол ""Clean glass concentrate"" (1 кг) ";;0;300.00;RUB
438;"Средство для очистки стекол ""Clean glass concentrate"" (5 кг)";;0;950.00;RUB
439;"Средство для очистки стекол и зеркал ""Clean glass"" (0,5 кг)";;0;100.00;RUB
440;"Средство для очистки стекол и зеркал ""Clean glass"" (1 кг)";;0;170.00;RUB
