IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;IP_PROP34
331;Размораживатель стекол и замков DEFROSTER Complex (0,5 л).;;0;DEFROSTER 0,5
332;Средство для мойки авто GURU Complex (1 л);;0;GURU 1
333;Средство для мойки авто GURU Complex (20 л);;0;GURU 20
334;Средство для мойки авто GURU Complex (5 л);;0;GURU 5
335;Комплект HANDS NANOMAX средство для ручной мойки;;0;HANDS NANOMAX комплект
336;Средство для ручной мойки авто HANDS SHINE Complex (0,5 л);;0;HANDS SHINE 0,5
337;Средство для ручной мойки авто HANDS SHINE Complex (1 л)				;;0;HANDS SHINE 1
338;Очиститель кузова универсальный LOCO Complex (0,5 л);;0;LOCO 0,5
339;Очиститель кузова универсальный LOCO Complex (1 л);;0;LOCO 1
340;Средство для мойки авто MAGNAT Complex (1 л) ;;0;MAGNAT 1
341;Средство для мойки авто MAGNAT Complex (20 л);;0;MAGNAT 20
342;Средство для мойки авто MAGNAT Complex (5 л);;0;MAGNAT 5
343;Средство мойки класс стандарт MASTER Complex (1 л);;0;MASTER 1
344;Средство мойки класс стандарт MASTER Complex (20 л);;0;MASTER 20
345;Средство мойки класс стандарт MASTER Complex (5 л);;0;MASTER 5
346;Средство для мойки авто MASTER TONE Complex (1 л);;0;MASTER TONE 1
347;Средство для мойки авто MASTER TONE Complex (20 л);;0;MASTER TONE 20
348;Средство для мойки авто MASTER TONE Complex (5 л);;0;MASTER TONE 5
349;Очиститель дигателя MOBILE (0,5 л);;0;MOBILE 0,5
350;Очиститель дигателя MOBILE (1 л);;0;MOBILE 1
351;Очиститель дигателя MOBILE (5 л);;0;MOBILE 5
352;Комплект NANEX водооталкивающее нанопокрытие для стекол;;0;NANEX комплект
353;Нано-средство для сушки, блеска, силикона автомобиля Complex NANO FINISH (1 кг);;0;NANO FINISH 1
354;Средство для мойки авто NOVICE Complex (1 л);;0;NOVICE 1
355;Средство для мойки авто NOVICE Complex (20 л);;0;NOVICE 20
356;Средство для мойки авто NOVICE Complex (5 л);;0;NOVICE 5
357;Очиститель колесных дисков ORBIS (0,5 л);;0;ORBIS 0,5
358;Очиститель колесных дисков ORBIS (1 л)					;;0;ORBIS 1
359;Матовая полироль-очиститель для пластиковых, кожаных изделий POLITURA (0,5 л) Бабл Гам;;0;POLITURA 0,5
360;Глянцевая полироль-очиститель для пластиковых, кожаных изделий POLITURA GLOSS (0,5 л) Виноград;;0;POLITURA GLOSS Вин. 0,5
361;Средство для мойки авто PROFY Complex (1 л);;0;PROFY 1
362;Средство для мойки авто PROFY Complex (20 л);;0;PROFY 20
363;Средство для мойки авто PROFY Complex (5 л);;0;PROFY 5
364;Очиститель - кондиционер для кожи Complex PROPELLA (0,5 л);;0;PROPELLA 0,5
365;Очиститель - кондиционер для кожи Complex PROPELLA (1 л);;0;PROPELLA 1
366;Чернитель резины Complex ROTAE (0,5 л);;0;ROTAE 0,5
367;Чернитель резины Complex ROTAE (1 л);;0;ROTAE 1
368;Чернитель резины Complex ROTAE (5 л);;0;ROTAE 5
369;Чернитель резины на основе силикона ROTAE VIS (0,5 л);;0;ROTAE VIS 0,5
370;Чернитель резины на основе силикона Complex ROTAE VIS (1 л);;0;ROTAE VIS 1
371;Чернитель резины на основе силикона Complex ROTAE VIS (5 л);;0;ROTAE VIS 5
372;Очищающая паста для рук, SAPO Complex (1 л);;0;SAPO 1
373;Средство для мойки авто SENZA Complex (1 л);;0;SENZA 1
374;Средство для мойки авто SENZA Complex (20 л);;0;SENZA 20
375;Средство для мойки авто SENZA Complex (5 л);;0;SENZA 5
376;Силиконовая смазка SILICONE Complex (0,25 л);;0;SILICONE 0,25
377;Универсальное средство для химчистки салона Complex TANTUM (0,5 л);;0;TANTUM 0,5
378;Универсальное средство для химчистки салона Complex TANTUM (1 л);;0;TANTUM 1
379;Универсальное средство для химчистки салона Complex TANTUM (5 л);;0;TANTUM 5
380;Средство мойки класс эконом TIRO Complex (1 л);;0;TIRO 1
381;Средство мойки класс эконом TIRO Complex (20 л);;0;TIRO 20
382;Средство мойки класс эконом TIRO Complex (5 л);;0;TIRO 5
383;Воск для кузова TUTELA FAST Complex  (1 л) ;;0;TUTELA FAST 1
384;Воск для кузова TUTELA FAST Complex (5 л);;0;TUTELA FAST 5
385;Воск для кузова TUTELA Complex (1 л) Бабл Гам;;0;TUTELA Бабл 1 
386;Воск для кузова TUTELA Complex (1 л) Вишня;;0;TUTELA Вишня 1
387;Воск для кузова TUTELA Complex (5 л) Вишня;;0;TUTELA Вишня 5
388;Средство для мойки авто TUTOR Complex (1 л);;0;TUTOR 1
389;Средство для мойки авто TUTOR Complex (20 л);;0;TUTOR 20
390;Средство для мойки авто TUTOR Complex (5 л);;0;TUTOR 5
391;Комплект автокосметики TWIN Complex;;0;TWIN комплект
392;Средство для мойки авто UNIOR Complex (1 л);;0;UNIOR 1
393;Средство для мойки авто UNIOR Complex (20 л);;0;UNIOR 20
394;Средство для мойки авто UNIOR Complex (5 л);;0;UNIOR 5
395;Концентрированный стеклоочиститель WITRUM (0,5 л);;0;WITRUM 0,5
396;Высокопенное средство для бесконтактной мойки DIY (20 л)					;;0;DIY 20
397;Наношампунь для ручной обработки автомобиля Complex NANO NEXT (1 л)					;;0; NANO NEXT 1
398;Наношампунь для ручной обработки автомобиля Complex NANO NEXT (5 л)					;;0; NANO NEXT 5
399;IPC Portotecnica G 131-C I 1306A-M мойка высокого давления;;0;IDAF94219
400;IPC Portotecnica PW-C23P I 1408A мойка высокого давления;;0;IDAF94223
401;IPC Portotecnica G 161-C I1610A-M мойка высокого давления;;0;IDAF94240
402;IPC Portotecnica PW-C23P I 1610A  мойка высокого давления с барабаном;;0;IDAF94227
403;IPC Portotecnica PW-C23P I1610AO мойка высокого давления с барабаном;;0;IDAF94231
404;IPC Portotecnica PW-C21 I 1508 P мойка высокого давления;;0;IDAF94359
407;Мойка высокого давления IPC Portotecnica PW-C25  1813P ;;0;IDAF94181
409;Мойка высокого давления IPC Portotecnica PW-C40 1310P;;0;IDAF40233
410;Мойка высокого давления IPC Portotecnica PW-C40 1310P M;;0;IDAF40881
411;Мойка высокого давления IPC Portotecnica PW-C40 1813P T +RU Assesori;;0;IDAF40882
412;Мойка высокого давления IPC Portotecnica PW-C40 1813P T ;;0;IDAF40238
413;Мойка высокого давления IPC Portotecnica  PW-C50 D2117P T +RU Assesori;;0;IDAF40883
415;Мойка высокого давления IPC Portotecnica  BENZ-C H1811Pi P IPC;;0;IDAF40352
416;Мойка высокого давления IPC Portotecnica BENZ-C H2013Pi P IPC;;0;IDAF40353
417;Мойка высокого давления IPC Portotecnica H.P.CLEANER PW-H50 D1813P4 T;;0;IDAC 40870
418;Мойка высокого давления IPC Portotecnica PW-H50/4 D1813P4T;;0;IDAC40880
419;Мойка высокого давления IPC Portotecnica PW-H50/4 D2017P4T;;0;IDAC40882
420;Мойка высокого давления IPC Portotecnica PW-H100/4 D2515PT;;0;IDAC40894
421;Холодный воск Fast Wax (1 л );;0;110100
422;Холодный воск Fast Wax (5 л);;0;110101
423;"Очиститель двигателя ""Motor Cleaner"" (5,8 кг)";;0;110292
424;Очиститель салона Universal cleaner (1 кг);;0;112100
425;Очиститель салона Universal cleaner (0,5 кг);;0;112105
426;"Универсальный пенный очиститель ""Multipurpose Foam Cleane"" (750 мл)";;0;112117
427;"Очиститель двигателя ""Motor Cleaner"" (1 кг)";;0;116100
428;"Полироль-очиститель пластика ""Dashboard Cleaner"" лимон (750 мл) ";;0;120107
429;"Полироль пластика ""Polyrol Matte"" (1 кг)";;0;120110
430;"Полироль пластика ""Polyrol Matte GRASS"" Изумруд (0,5 кг)";;0;120115
431;"Полироль для шин ""Black rubber"" (1 кг)";;0;121100
432;"Полироль для шин ""Black rubber"" (0,5 кг)";;0;121105
433;"Полироль для шин ""Black BRILLIANS Silicone"" (0,5 кг)";;0;125105
434;"Очиститель салона ""Universal cleaner"" (5,4 кг)";;0;125197
435;"Чернитель резины ""Black rubber"" (5,7 кг)";;0;125231
436;"Горячий воск ""Hot Wax"" (5 кг) ";;0;
437;"Средство для очистки стекол ""Clean glass concentrate"" (1 кг) ";;0;130100
438;"Средство для очистки стекол ""Clean glass concentrate"" (5 кг)";;0;130101
439;"Средство для очистки стекол и зеркал ""Clean glass"" (0,5 кг)";;0;130105
440;"Средство для очистки стекол и зеркал ""Clean glass"" (1 кг)";;0;131100
441;"Очиститель натуральной кожи ""Leather Cleaner"" (0,5 кг)";;0;131105
442;"Наношампунь ""Nano Shampoo"" (1 кг)";;0;136101
443;"Холодный воск ""Cherry Wax"" (1 кг)";;0;138100
444;"Очиститель битумных пятен ""Antibitum"" (0,5 кг)";;0;150105
445;"Кислотное средство для очистки фасадов ""Acid Cleaner"" (5,9 кг)";;0;160101
446;"Горячий воск ""Hot Wax"" (1 кг) ";;0;38568
447;IPC Portotecnica YP 1400/6 ECO B пылесос ;;0;ASDO15507
448;IPC Portotecnica YP 1400/20 пылесос ;;0;ASDO12701
449;IPC Portotecnica YS 1-20 W&D VERDE пылесос;;0;ASDO15089
450;Пылесос IPC Portotecnica YS1/27W&D YES 215/27 HP ST C/ACC;;0;ASDO15078
451;Пылесос IPC Portotecnica YS 2/62W&D AMST 429HP MI C/ACC;;0;ASDO15081
452;Пылесос IPC Portotecnica YS3/62W&D AMST 440HP MI C/ACC;;0;ASDO15083
453;IPC Portotecnica VACUUM CLEANER YP 1-20 W&DTC пылесос;;0;ASDO13049 
454;Пылесос IPC Portotecnica NRG 1/30 CLEAN P TC SL PT;;0;ASDO12995
455;Пылесос IPC Portotecnica ESTR. GP 1/27 EXT GAMMA 200C/ACC;;0;ASDO15060 
456;IPC Portotecnica VACUUM CLEANER FOX пылесос;;0;ASDO05743 
457;IPC Portotecnica PLUS 1 W 1 32 S пылесос;;0;ASDO40035
458;Комплект для пола Classic к SC 1 (швабра+салфетка);;0;2.885-411.0
459;Круглая щетка со скребком;;0;2.863-140.0
460;HD 9/50-4 мойка высокого давления;;0;1.367-156.0
461;HD 9/20 Classic мойка высокого давления;;0;1.367-308.0
462;HD 9/18-4 Classic Cage мойка высокого давления;;0;1.367-315.0
463;HDS 8/18-4 C *EU-I мойка высокого давления;;0;1.174-900.0
464;CV 30/1 *EU Пылесос сухой уборки;;0;1.023-116.0
465;CV 38/2 *EU пылесос сухой уборки;;0;1.033-312.0
466;T 14/1 Classic ALA *EU Пылесос сухой уборки;;0;1.527-170.0
467;T 8/1 Classic ALA *EU Пылесос сухой уборки;;0;1.527-160.0
468;T 12/1   *EU пылесос сухой уборки;;0;1.355-100.0
469;T 15/1 *EU пылесос сухой уборки;;0;1.355-200.0
471;NT 30/1 Tact Te L *EU пылесос влажной и сухой уборки;;0;1.148-211.0
472;NT 30/1 Ap L пылесос влажной и сухой уборки;;0;1.148-221.0
473;NT 30/1 AP Te L *EU пылесос влажной и сухой уборки;;0;1.148-231.0
474;NT 40/1 AP L *EU пылесос влажной и сухой уборки ;;0;1.148-321.0
475;NT 70/2 Me Classic Edition *EU пылесос влажной и сухой уборки;;0;1.667-306.0
476;NT 90/2 Me Classic  Edition *EU пылесос влажной и сухой уборки;;0;1.667-700.0
478;NT 70/3 *EU пылесос влажной и сухой уборки;;0;1.667-270.0
479;BR 30/4 C Adv *EU поломоечная машина;;0;1.783-213.0
480;BR 40/10C Adv + MF *EU поломоечная машина;;0;1.783-329.0
481;BR 35/12 C Bp Pack *EU поломоечная машина;;0;1.783-450.0
482;BD 38/12 C поломоечная машина;;0;1.783-430.0
483;BDS 43/180 C Adv уборочная машина;;0;1.291-237.0
484;BD 30/4 C Bp Pack *EU поломоечная машина;;0;1.783-230.0
485;Пенный комплект Premium типо KW для Karcher EASY!Lock;;0;Chris компл KW EL
486;BR 45/22 C Bp Pack*EU машина поломоечная;;0;1.783-460.0
487;BD 43/25 C Bp поломоечная машина;;0;1.515-400.0
488;BD 43/35 C Ep поломоечная машина;;0;1.515-401.0
489;Пенная насадка LS3 (Premium) EASY!Lock для профессиональных АВД Керхер;;0;Chris EASY!Lock
490;Каналопромывочный шланг 10 метров с вращающейся форсункой;;0;
491;BD 50/50 C Bp Classic Поломоечная машина;;0;1.127-001.0
492;BD 50/60C Ep Classic поломойная машина;;0;1.127-002.0
493;Шланг высокого давления для очистки канализаций, двухоплёточный, 15 м (гайка EASY!Lock -  форсунка 1*3 с боем вперед, 045);;0;
494;Каналопромывочный шланг 15 метров с вращ. форсункой;;0;
495;KM 70/20 C подметальная машина;;0;1.517-106.0
496;KM 70/20 C mit 2.SB подметальная машина;;0;1.517-107.0
497;Каналопромывочный шланг 20 метров с вращ. форсункой;;0;
498;KM 75/40 W G подметальная машина;;0;1.049-205.0
499;WVP 10 *EU стеклоочиститель профессиональный ;;0;1.633-550.0
